place_id	place_name	day	hour	movement
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	0	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	1	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	2	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	3	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	4	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	5	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	6	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	7	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	8	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	9	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	10	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	11	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	12	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	13	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	14	0.59
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	15	0.73
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	16	0.84
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	17	0.91
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	18	0.99
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	19	1.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	20	0.92
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	21	0.73
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	22	0.49
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Wednesday	23	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Thursday	0	0.0
